tid,ra,dec,primary_transit,secondary_transit,period,phase_difference
TIC 0001003831,130.295165,-16.03628,1518.9708579695666,1519.882292193454,1.65114895631773,0.552
TIC 0001220444,71.527391,-30.623296,1440.6344081176126,1447.4240463055069,7.162065599044558,0.948
TIC 0002020964,133.458629,-25.084257,1519.3024115515789,1519.54368309636,2.9423359119640153,0.08199999999999985
TIC 0002372579,288.917046,-28.689227,1664.78482165687,1671.5609313206119,9.921097604307176,0.683
TIC 0003815360,10.195833,-11.367027,1378.7122109920872,1383.2158517727278,19.581046872350843,0.22999999999999998
TIC 0003816260,10.135067,-6.48088,1390.527157289905,1393.284010178274,13.127870896995152,0.20999999999999996
TIC 0004723156,39.442351,-7.096792,1409.1557394158112,1414.4227479224423,9.490105417353403,0.5549999999999999
TIC 0005703872,143.360351,-39.365419,1517.5175261839124,1512.6005294393153,16.28144617416293,-0.30200000000000005
TIC 0006518047,112.880153,-6.734544,1492.5484493117033,1493.3759946838427,1.851331928723453,0.44700000000000006
TIC 0007695666,65.646765,-41.48337,1429.2434042886318,1443.9182982363047,17.553700894345678,0.836
TIC 0008200343,156.964456,39.901245,1873.1589790184937,1879.339630646797,12.984562244334688,0.476
TIC 0009033144,349.606182,-19.823916,1557.0283326638364,1566.4348646104525,14.145160821979024,0.665
TIC 0009209932,352.503652,-18.692869,1354.7129679823342,1358.0135812857836,3.5225328745456954,0.937
TIC 0010057647,133.330436,53.735809,1842.8089808403809,1854.1121342177516,16.2635300393824,0.6950000000000001
TIC 0010891640,297.762051,25.954311,1685.0681205974263,1684.7219303439867,6.181968811422059,-0.05600000000000005
TIC 0011046410,56.127125,-1.163089,1441.106274555361,1437.28052002547,8.122621082571444,-0.47099999999999986
TIC 0011491822,96.60765,56.285099,1851.9277371299124,1857.4083088331415,9.946591112938655,0.5509999999999999
TIC 0011561667,149.823787,-27.392782,1548.526144202062,1548.5045305858307,3.087659461614192,-0.007000000000000006
TIC 0011748495,129.009904,-34.211172,1521.0999068507842,1523.5385795662512,4.1615575349264615,0.5860000000000001
TIC 0012029932,304.349017,36.12666,1689.6532532167569,1696.6296199657484,10.554261344918896,0.661
TIC 0012723924,336.744624,-17.424449,1357.5026114470695,1351.4305009383675,22.000400393847947,-0.276
TIC 0012915124,304.987068,37.835365,1684.2603800979016,1685.7254394707331,3.1642751033080083,0.46299999999999997
TIC 0013062697,75.58056,-29.586287,1443.3787401809889,1447.262603012275,4.848767579632914,0.8009999999999999
TIC 0013976604,305.840385,38.001861,1713.8816343555409,1716.5228614933055,3.2053727400057466,0.8240000000000001
TIC 0014040050,38.143982,61.538664,1793.0129361578445,1794.2967779179605,10.270734080928593,0.125
TIC 0016288184,253.76889,-28.71056,1635.4531006389016,1635.2394754726774,4.359697269878752,-0.049000000000000044
TIC 0016596302,105.863196,40.204468,1843.776955603146,1844.9102250789722,2.546672979384783,0.44499999999999995
TIC 0016728252,307.793942,41.531516,1685.269121782417,1688.0388308079926,4.850628766331859,0.571
TIC 0016805614,141.849214,39.510297,1876.983460775277,1880.8046863146108,8.491612309630653,0.44999999999999996
TIC 0016805617,141.868211,39.504975,1873.1657257100137,1877.8357292319643,8.490915494455392,0.55
TIC 0021184505,128.852687,12.011641,1495.1795426268511,1492.2954081788487,5.291989812848522,-0.545
TIC 0021499609,148.940265,37.195099,1869.7319352601223,1874.4966206106803,8.478087812380974,0.562
TIC 0022390773,184.178973,-45.867474,1572.0618458816684,1577.4430827457072,11.305119462266283,0.476
TIC 0022937402,109.132744,-38.31893,1491.0649884528118,1491.100938204294,1.3826827493135223,0.026000000000000023
TIC 0023555025,169.035646,-32.65212,1546.0860827045954,1550.7700664046924,4.74567750769707,0.987
TIC 0024133365,238.609993,-27.561,1628.7499911870143,1633.1681416095432,7.069040676046402,0.625
TIC 0024397947,81.662797,-34.616474,1438.777823244376,1438.6555323606628,10.190906976096668,-0.01200000000000001
TIC 0024935204,350.411213,49.386751,1765.5667089768012,1770.796107958555,13.4431850430689,0.389
TIC 0024972851,142.714781,-32.572648,1519.4587471630898,1521.839617087584,4.0217397373212975,0.5920000000000001
TIC 0026542657,291.906092,50.42378,1685.7211925060155,1691.487693066629,11.00477206223912,0.524
TIC 0026801525,355.50574,51.74356,1766.6188160260206,1764.46786450907,3.896651298823522,-0.552
TIC 0027845677,296.464312,50.28615,1640.3385439099582,1662.3905689964665,33.1609399797119,0.665
TIC 0028051929,12.666619,-18.505916,1534.0734564744514,1527.7605990312175,13.634681302881106,-0.46299999999999997
TIC 0028224552,28.083357,25.455465,1766.4235710538028,1771.1585533608281,9.926587645755244,0.477
TIC 0029478974,314.081603,-26.588529,1333.7863691111536,1328.655614750913,12.45328728213775,-0.41200000000000003
TIC 0029847695,23.58084,-8.457809,1387.9766911484592,1390.8307726138203,4.998391357900171,0.571
TIC 0030034081,73.028861,-70.731244,1411.5531160193027,1410.509765077842,2.3446088572149892,-0.445
TIC 0031511621,89.157615,-67.606904,1600.9140241256696,1602.4496439734403,2.6294860407032754,0.584
TIC 0032449963,189.93837,-11.647124,1574.6948064248195,1577.7920395805813,6.520490854235356,0.475
